,Unnamed: 0,Symbol,Wikipedia Link,Name,Sector,SEC Filings Link,CIK,Enterprise Value,Trailing P/E,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,EBITDA,Diluted EPS,Market Cap (intraday),Forward P/E,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding
282,282,NSC,https://en.wikipedia.org/wiki/wiki/Norfolk_Southern_Corp.,Norfolk Southern Corp.,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000702165&type=10-K&dateb=&owner=include&count=40,702165,47540000000.0,6.95,4.51,10.23,10550000000.0,4650000000.0,18.61,36650000000.0,13.7,1.47,138.56,138.27,1870000.0,2190000.0,283300000.0
283,283,NOC,https://en.wikipedia.org/wiki/wiki/Northrop_Grumman_Corp.,Northrop Grumman Corp.,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001133421&type=10-K&dateb=&owner=include&count=40,1133421,63030000000.0,30.66,2.44,16.7,25800000000.0,3770000000.0,11.47,61330000000.0,20.04,0.81,347.41,316.08,1050000.0,1010000.0,174380000.0
284,284,NCLH,https://en.wikipedia.org/wiki/wiki/Norwegian_Cruise_Line,Norwegian Cruise Line,Consumer Discretionary,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001513761&type=10-K&dateb=&owner=include&count=40,1513761,18190000000.0,16.08,3.37,11.56,5400000000.0,1570000000.0,3.31,11920000000.0,10.41,1.58,55.41,55.87,2120000.0,2550000.0,223940000.0
285,285,NUE,https://en.wikipedia.org/wiki/wiki/Nucor_Corp.,Nucor Corp.,Materials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000073309&type=10-K&dateb=&owner=include&count=40,73309,22360000000.0,14.81,1.1,8.47,20250000000.0,2640000000.0,4.1,19300000000.0,11.01,1.58,65.1,61.79,2950000.0,2420000.0,318090000.0
286,286,NVDA,https://en.wikipedia.org/wiki/wiki/Nvidia_Corporation,Nvidia Corporation,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001045810&type=10-K&dateb=&owner=include&count=40,1045810,135009999999.99997,44.45,13.9,39.6,9710000000.0,3410000000.0,4.82,129620000000.0,29.55,1.53,239.82,208.59,15100000.0,12660000.0,605000000.0
287,287,ORLY,https://en.wikipedia.org/wiki/wiki/O%27Reilly_Automotive,O'Reilly Automotive,Consumer Discretionary,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000898173&type=10-K&dateb=&owner=include&count=40,898173,23630000000.0,18.72,2.63,12.06,8980000000.0,1960000000.0,12.67,19760000000.0,13.81,0.83,245.94,236.47,,,83300000.0
288,288,OXY,https://en.wikipedia.org/wiki/wiki/Occidental_Petroleum,Occidental Petroleum,Energy,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000797468&type=10-K&dateb=&owner=include&count=40,797468,58030000000.0,39.72,4.64,11.39,12510000000.0,5100000000.0,1.7,51710000000.0,24.56,0.62,65.62,68.48,5270000.0,7840000.0,765670000.0
289,289,OMC,https://en.wikipedia.org/wiki/wiki/Omnicom_Group,Omnicom Group,Consumer Discretionary,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000029989&type=10-K&dateb=&owner=include&count=40,29989,17790000000.0,15.43,1.16,7.6,15270000000.0,2340000000.0,4.65,16520000000.0,11.96,1.02,74.17,73.36,2650000.0,1900000.0,230270000.0
290,290,OKE,https://en.wikipedia.org/wiki/wiki/ONEOK,ONEOK,Energy,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001039684&type=10-K&dateb=&owner=include&count=40,1039684,32640000000.0,43.95,2.68,18.11,12170000000.0,1800000000.0,1.29,23280000000.0,21.0,1.25,57.0,55.39,3120000.0,2580000.0,410630000.0
291,291,ORCL,https://en.wikipedia.org/wiki/wiki/Oracle_Corp.,Oracle Corp.,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001341439&type=10-K&dateb=&owner=include&count=40,1341439,177680000000.0,52.43,4.5,11.47,39470000000.0,15490000000.0,0.86,183010000000.0,13.3,1.02,49.26,49.17,17260000.0,16379999.999999998,4080000000.0
292,292,PCAR,https://en.wikipedia.org/wiki/wiki/PACCAR_Inc.,PACCAR Inc.,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000075362&type=10-K&dateb=&owner=include&count=40,75362,28000000000.0,13.95,1.44,10.51,19460000000.0,2660000000.0,4.75,23330000000.0,11.87,0.94,67.64,70.87,2860000.0,2980000.0,352090000.0
293,293,PKG,https://en.wikipedia.org/wiki/wiki/Packaging_Corporation_of_America,Packaging Corporation of America,Materials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000075677&type=10-K&dateb=&owner=include&count=40,75677,13010000000.0,15.58,2.02,9.67,6440000000.0,1340000000.0,7.07,10310000000.0,12.79,1.99,116.63,117.97,,,93610000.0
